dataid,frame,type,sec
1,69,floor_head,2.266666666
1,302,floor_head,10.26666667
2,286,floor_head,9.866666666
3,282,wall,9.733333333
4,286,wall,10.03333333
5,304,wall,11.06666667
6,250,wall,9.833333333
7,272,wall,9.9
8,275,floor_head,9.866666666
9,295,floor_head,10.2
10,290,floor_hand,10.03333333
11,351,wall,12.1
12,284,floor_hand,10.26666667
13,94,floor_hand,3.3
13,285,wall,9.9
14,281,floor_hand,9.666666667
15,294,floor_hand,10.1
16,301,wall,10.3
17,291,floor_hand,9.966666667
18,89,floor_hand,3
18,288,floor_head,9.799999999
19,290,floor_hand,9.933333334
20,289,wall,9.866666667
21,294,floor_hand,10.3
22,295,floor_hand,10.13333333
23,291,floor_hand,10.1
24,289,floor_hand,10.06666667
25,286,floor_head,10.16666667
26,292,floor_head,10.16666667
27,287,floor_hand,10.2
28,301,floor_hand,10.2
29,284,wall,9.933333333
30,289,wall,10.3
31,287,floor_head,10
32,272,floor_hand,9.6
33,285,floor_hand,9.9
34,158,floor_hand,5.433333333
34,287,floor_head,10.13333333
35,289,floor_hand,10
35,400,floor_hand,13.8
36,279,wall,10.16666667
36,444,floor_hand,16.23333333
37,300,floor_hand,10.43333333
38,283,floor_head,9.766666667
39,294,floor_hand,10.4
40,288,floor_hand,10.06666667
41,287,floor_head,9.966666667
42,290,floor_hand,9.8
43,301,floor_hand,10.1
44,305,floor_hand,10.16666667
45,306,floor_hand,10.23333333
46,309,floor_hand,10.36666667
47,175,floor_hand,6.366666667
47,518,floor_hand,18.66666667
48,175,floor_hand,6.166666667
49,295,floor_head,10.16666667
50,395,floor_head,13.23333333
51,298,floor_hand,10.16666667
